Dates,ABBV,NASDAQ,SPX,DJI,10Y Yield,ABBVP,NASDAQP,SPXP,DJIP
6/5/2016,0.024722748,-0.008151328,-0.003901437,-0.001847609,1.79,89.42,59.4,45.53,35.06
13/5/2016,-0.008130081,-0.003952321,-0.005153577,-0.011550422,1.71,87.88,58.77,44.78,33.5
20/5/2016,-0.037257824,0.011022233,0.002831883,-0.001947566,1.85,80.88,60.52,45.19,33.24
27/5/2016,0.050586024,0.034388238,0.022728838,0.021239868,1.85,90.03,66.04,48.49,36.07
3/6/2016,0.036520549,0.001806794,6.73E-05,-0.003674579,1.71,96.97,66.34,48.5,35.57
10/6/2016,-0.061532213,-0.009678971,-0.001481481,0.003245556,1.64,84.85,64.73,48.28,36.01
17/6/2016,-0.016229375,-0.019243611,-0.011869436,-0.010587457,1.62,81.85,61.56,46.52,34.57
24/6/2016,-0.002529557,-0.019249814,-0.016311766,-0.01553095,1.57,81.39,58.45,44.13,32.48
1/7/2016,0.047632174,0.032817924,0.032193159,0.031476449,1.46,90.03,63.65,48.77,36.65
8/7/2016,0.023101616,0.019370608,0.012771392,0.011050128,1.37,94.42,66.82,50.67,38.16
15/7/2016,-0.0130645,0.014686488,0.014999668,0.020338738,1.6,91.88,69.27,52.93,40.97
22/7/2016,0.007713154,0.014060377,0.006146603,0.00290842,1.57,93.36,71.65,53.87,41.38
29/7/2016,0.037960281,0.012117681,-0.000649899,-0.007426793,1.46,100.7,73.73,53.77,40.33
5/8/2016,0.004683607,0.011454556,0.004227092,0.006057151,1.59,101.64,75.72,54.42,41.18
12/8/2016,0.009769887,0.00221944,0.000582826,0.001770789,1.51,103.61,76.11,54.51,41.43
19/8/2016,-0.001375178,0.001078871,-0.000129441,-0.001272714,1.58,103.33,76.3,54.49,41.25
26/8/2016,-0.037082575,-0.003743619,-0.006796556,-0.008495575,1.62,95.79,75.64,53.44,40.05
2/9/2016,-0.007610195,0.005978137,0.00508342,0.005212424,1.6,94.3,76.69,54.22,40.78
9/9/2016,-0.011837365,-0.023657253,-0.023926858,-0.021949141,1.67,92,72.51,50.53,37.69
16/9/2016,-0.00140625,0.023187062,0.005314555,0.002106181,1.7,91.73,76.51,51.33,37.98
23/9/2016,0.02701716,0.011614073,0.011960616,0.007609799,1.62,96.91,78.56,53.14,39.03
30/9/2016,-0.029404296,0.001232079,0.001632493,0.002517442,1.6,91.12,78.78,53.39,39.38
7/10/2016,-0.002197572,-0.003691688,-0.00671491,-0.003659062,1.73,90.7,78.12,52.36,38.87
14/10/2016,-0.043890928,-0.014821469,-0.009648202,-0.005616764,1.8,82.33,75.48,50.89,38.09
21/10/2016,0.01349202,0.008320036,0.00384386,0.000434499,1.74,84.79,76.94,51.47,38.15
28/10/2016,-0.055414254,-0.012829208,-0.006866046,0.000868621,1.86,74.55,74.67,50.43,38.27
4/11/2016,-0.027098253,-0.027652144,-0.019411022,-0.015043032,1.79,69.82,69.84,47.51,36.19
